subject,condition,trial_type,trial_num,fixation_position,target_item,selected_item,correct,excluded
1,left,training,39,,2,2,1,False
1,left,training,40,,2,2,1,False
1,left,training,41,,1,1,1,False
1,left,training,42,,7,7,1,False
1,left,training,43,,5,5,1,False
1,left,training,44,,4,4,1,False
1,left,training,45,,3,3,1,False
1,left,training,46,,6,6,1,False
1,left,training,47,,0,0,1,False
1,left,training,48,,4,4,1,False
1,left,training,49,,0,0,1,False
1,left,training,50,,6,6,1,False
1,left,training,51,,2,2,1,False
1,left,training,52,,5,5,1,False
1,left,training,53,,3,3,1,False
1,left,training,54,,1,1,1,False
1,left,training,55,,7,7,1,False
1,left,training,56,,4,4,1,False
1,left,training,57,,0,0,1,False
1,left,training,58,,6,6,1,False
1,left,training,59,,2,2,1,False
1,left,training,60,,5,5,1,False
1,left,training,61,,3,3,1,False
1,left,training,62,,7,7,1,False
1,left,training,63,,1,1,1,False
1,left,test,0,4,4,4,1,False
1,left,test,1,0,1,0,0,False
1,left,test,2,0,7,7,1,False
1,left,test,3,6,5,5,1,False
1,left,test,4,5,7,7,1,False
1,left,test,5,5,1,1,1,False
1,left,test,6,4,3,3,1,False
1,left,test,7,4,5,5,1,False
1,left,test,8,2,4,4,1,False
1,left,test,9,3,3,3,1,False
1,left,test,10,4,0,0,1,False
1,left,test,11,3,4,4,1,False
1,left,test,12,5,6,6,1,False
1,left,test,13,3,0,0,1,False
1,left,test,14,3,1,1,1,False
1,left,test,15,2,1,1,1,False
1,left,test,16,6,1,1,1,False
1,left,test,17,3,2,2,1,False
1,left,test,18,1,5,5,1,False
1,left,test,19,6,0,4,0,False
1,left,test,20,2,6,6,1,False
1,left,test,21,2,7,7,1,False
1,left,test,22,3,7,7,1,False
1,left,test,23,0,3,6,0,False
1,left,test,24,1,4,4,1,False
1,left,test,25,3,5,5,1,False
1,left,test,26,0,5,5,1,False
1,left,test,27,1,2,1,0,False
1,left,test,28,5,5,5,1,False
1,left,test,29,4,6,6,1,False
1,left,test,30,1,6,6,1,False
1,left,test,31,2,0,0,1,False
1,left,test,32,0,0,0,1,False
1,left,test,33,5,0,0,1,False
1,left,test,34,0,4,4,1,False
1,left,test,35,4,7,7,1,False
1,left,test,36,2,2,2,1,False
1,left,test,37,1,7,7,1,False
1,left,test,38,5,4,0,0,False
1,left,test,39,6,6,7,0,False
1,left,test,40,1,3,3,1,False
1,left,test,41,5,3,3,1,False
1,left,test,42,6,4,4,1,False
1,left,test,43,0,6,6,1,False
1,left,test,44,4,1,1,1,False
1,left,test,45,4,2,3,0,False
1,left,test,46,5,2,2,1,False
1,left,test,47,2,3,3,1,False
1,left,test,48,2,5,5,1,False
1,left,test,49,1,0,0,1,False
1,left,test,50,3,6,6,1,False
1,left,test,51,0,2,2,1,False
1,left,test,52,6,2,2,1,False
1,left,test,53,6,3,2,0,False
1,left,test,54,6,7,3,0,False
1,left,test,55,1,1,1,1,False
2,left,training,0,,6,6,1,False
2,left,training,1,,3,4,0,False
