subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
0,left,training,0,1,2,0,,False
0,left,training,1,5,2,0,,False
0,left,training,2,6,6,1,,False
0,left,training,3,7,7,1,,False
0,left,training,4,4,4,1,,False
0,left,training,5,2,1,0,,False
0,left,training,6,3,3,1,,False
0,left,training,7,0,0,1,,False
0,left,training,8,7,7,1,,False
0,left,training,9,6,6,1,,False
0,left,training,10,2,2,1,,False
0,left,training,11,0,0,1,,False
0,left,training,12,5,5,1,,False
0,left,training,13,4,4,1,,False
0,left,training,14,1,1,1,,False
0,left,training,15,3,3,1,,False
0,left,training,16,5,5,1,,False
0,left,training,17,6,6,1,,False
0,left,training,18,1,1,1,,False
0,left,training,19,3,3,1,,False
0,left,training,20,0,0,1,,False
0,left,training,21,7,7,1,,False
0,left,training,22,4,4,1,,False
0,left,training,23,2,2,1,,False
0,left,training,24,1,1,1,,False
0,left,training,25,4,4,1,,False
0,left,training,26,3,3,1,,False
0,left,training,27,2,2,1,,False
0,left,training,28,5,5,1,,False
0,left,training,29,0,0,1,,False
0,left,training,30,7,7,1,,False
0,left,training,31,6,6,1,,False
0,left,training,32,2,2,1,,False
0,left,training,33,0,0,1,,False
0,left,training,34,3,3,1,,False
0,left,training,35,7,7,1,,False
0,left,training,36,6,6,1,,False
0,left,training,37,1,1,1,,False
0,left,training,38,4,4,1,,False
0,left,training,39,5,5,1,,False
0,left,training,40,5,5,1,,False
0,left,training,41,4,4,1,,False
0,left,training,42,2,2,1,,False
0,left,training,43,7,7,1,,False
0,left,training,44,6,6,1,,False
0,left,training,45,3,3,1,,False
0,left,training,46,0,0,1,,False
0,left,training,47,1,1,1,,False
0,left,training,48,7,7,1,,False
0,left,training,49,5,5,1,,False
0,left,training,50,3,3,1,,False
0,left,training,51,0,0,1,,False
0,left,training,52,2,2,1,,False
0,left,training,53,4,4,1,,False
0,left,training,54,1,1,1,,False
0,left,training,55,6,6,1,,False
0,left,training,56,7,7,1,,False
0,left,training,57,3,3,1,,False
0,left,training,58,5,5,1,,False
0,left,training,59,0,0,1,,False
0,left,training,60,6,6,1,,False
0,left,training,61,4,4,1,,False
0,left,training,62,2,2,1,,False
0,left,training,63,1,1,1,,False
0,left,test,0,4,4,1,87,False
0,left,test,1,5,5,1,105,False
0,left,test,2,7,7,1,106,False
0,left,test,3,0,0,1,97,False
0,left,test,4,6,6,1,77,False
0,left,test,5,1,1,1,64,False
0,left,test,6,2,2,1,92,False
0,left,test,7,3,3,1,70,False
0,left,test,8,4,4,1,85,False
0,left,test,9,1,1,1,59,False
0,left,test,10,6,6,1,61,False
0,left,test,11,7,7,1,,False
0,left,test,12,3,3,1,93,False
0,left,test,13,5,5,1,106,False
0,left,test,14,0,0,1,85,False
